context,description,type,placeholders,en,de,es,fr,it,ja,ko,pl,pt,ru,th,tr,uk,zh,nl
appTitle,The title of the application,text,,Timberborn stats viewer,Timberborn-Statistik-Viewer,Visor de estadísticas de Timberborn,Visionneuse de statistiques Timberborn,Visualizzatore delle statistiche di Timberborn,ティンバーボーン統計ビューア,팀버본 통계 뷰어,Przeglądarka statystyk Timberborn,Visualizador de estatísticas do Timberborn,Просмотрщик статистики Timberborn,โปรแกรมดูสถิติของ Timberborn,Timberborn istatistik görüntüleyici,Переглядач статистики Timberborn,廷伯伯恩统计查看器,Timberborn-statistiekenviewer
selectFile,,text,,Select a .timber file,Wählen Sie eine .timber-Datei aus,Seleccione un archivo .timber,Sélectionnez un fichier .timber,Seleziona un file .timber,.timber ファイルを選択します,.timber 파일을 선택하세요,Wybierz plik .timber,Selecione um arquivo .timber,Выберите файл .timber,เลือกไฟล์ .timber,Bir .timber dosyası seçin,Виберіть файл .timber,选择 .timber 文件,Selecteer een .timber-bestand
details,,text,,Details,Einzelheiten,Detalles,Détails,Dettagli,詳細,세부,Detale,Detalhes,Подробности,รายละเอียด,Detaylar,Подробиці,细节,Details
timestamp,,text,,Timestamp,Zeitstempel,Marca de tiempo,Horodatage,Timestamp,タイムスタンプ,타임스탬프,Znak czasu,Carimbo de data e hora,Временная метка,การประทับเวลา,Zaman damgası,Мітка часу,时间戳,Tijdstempel
cycle,,text,,Cycle,Zyklus,Ciclo,Faire du vélo,Ciclo,サイクル,주기,Cykl,Ciclo,Цикл,วงจร,Döngü,Цикл,循环,Cyclus
cycleDay,,text,,Day,Tag,Día,Jour,Giorno,日,낮,Dzień,Dia,День,วัน,Gün,День,天,Dag
gameVersion,The version of the game,text,,Game version,Spielversion,Versión del juego,Version du jeu,Versione del gioco,ゲームバージョン,게임 버전,Wersja gry,Versão do jogo,Версия игры,เวอร์ชันเกม,Oyun sürümü,Ігрова версія,游戏版本,Spelversie
mapSize,The width of the map,text,,Map size,Kartengröße,Tamaño de mapa,Taille de la carte,Dimensioni della mappa,マップサイズ,지도 크기,Rozmiar mapy,Tamanho do mapa,Размер карты,ขนาดแผนที่,Harita boyutu,Розмір карти,地图尺寸,Kaart grootte
faction,,text,,Faction,Fraktion,Facción,Faction,Fazione,派,파벌,Odłam,Facção,Фракция,ฝ่าย,Hizip,Фракція,派,Factie
mapName,The name of the map,text,,Map name,Kartenname,Nombre del mapa,Nom de la carte,Nome della mappa,マップ名,지도 이름,Nazwa mapy,Nome do mapa,Название карты,ชื่อแผนที่,Harita adı,Назва карти,地图名称,Naam van de kaart
beaversBorn,,text,,Beavers born,Biber geboren,Castores nacidos,Des castors nés,Nascono i castori,ビーバーの誕生,비버 탄생,Urodziły się bobry,Castores nascidos,Бобры родились,บีเวอร์เกิด,Kunduzlar doğdu,Бобри нар,海狸出生,Bevers geboren
waterConsumed,,text,,Water consumed,Wasser verbraucht,Agua consumida,Eau consommée,Acqua consumata,水の消費量,물 소비,Zużyta woda,Água consumida,Потребление воды,น้ำที่ใช้ไป,Tüketilen su,Витрачена вода,消耗水量,Water verbruikt
tailsPainted,,text,,Tails painted,,,,,,,,,,,,,,
treesCut,,text,,Trees cut,Bäume gefällt,árboles cortados,Arbres coupés,Alberi tagliati,伐採された木,나무를 베다,Drzewa wycięte,Árvores cortadas,Деревья срублены,ต้นไม้ถูกตัด,Ağaçlar kesildi,Дерева зрізані,树木被砍伐,Bomen gekapt
brokenTeeth,,text,,Broken teeth,Gebrochene Zähne,dientes rotos,Dents cassées,Denti rotti,折れた歯,부러진 치아,Złamane zęby,Dentes quebrados,Сломанные зубы,ฟันหัก,Kırık dişler,Зламані зуби,牙齿断了,Gebroken tanden
botsManufactured,,text,,Bots manufactured,Bots hergestellt,Bots fabricados,Bots fabriqués,Bot fabbricati,製造されたボット,제조된 봇,Wyprodukowano boty,Robôs fabricados,Боты изготовлены,บอทที่ผลิต,Robotlar üretildi,Боти виготовлені,机器人制造完成,Bots vervaardigd
dynamiteDetonated,,text,,Dynamite detonated,Dynamit explodierte,Dinamita detonada,La dynamite a explosé,La dinamite è esplosa,ダイナマイトが爆発した,다이너마이트가 폭발했습니다,Wybuchł dynamit,Dinamite detonada,Динамит взорвался,ไดนาไมต์ถูกจุดชนวน,Dinamit patlatıldı,Здетонував динаміт,炸药被引爆,Dynamiet ontploft
beaversExploded,,text,,Beavers exploded,Biber explodierten,Los castores explotaron,Les castors ont explosé,I castori esplosero,ビーバーが爆発した,비버가 폭발했다,Bobry eksplodowały,Castores explodiram,Бобры взорвались,บีเว่อร์ระเบิด,Kunduzlar patladı,Вибухнули бобри,海狸爆炸了,Bevers ontploften
wellbeingHighscore,,text,,Wellbeing highscore,Wohlfühl-Highscore,Puntuación más alta de bienestar,Meilleur score en matière de bien-être,Punteggio più alto in termini di benessere,健康ハイスコア,웰빙 최고 점수,Najlepszy wynik dobrego samopoczucia,Pontuação de bem-estar,Рейтинг благополучия,คะแนนสูงสุดด้านสุขภาพ,Sağlık yüksek puanı,Рекорд добробуту,幸福高分,Welzijn hoogscore
production,,text,,Production,Produktion,Producción,Production,Produzione,生産,생산,Produkcja,Produção,Производство,การผลิต,Üretme,виробництво,生产,Productie
food,,text,,Food,Essen,Alimento,Nourriture,Cibo,食べ物,음식,Żywność,Comida,Еда,อาหาร,Yiyecek,харчування,食物,Voedsel
coffeeBush,,text,,Coffee bush,Kaffeestrauch,Arbusto de café,Caféier,Cespuglio di caffè,コーヒーブッシュ,커피나무,Krzew kawowy,Arbusto de café,Кофейный куст,พุ่มกาแฟ,Kahve çalısı,Кавовий кущ,咖啡树丛,Koffie struik
cassava,,text,,Cassava,Maniok,Mandioca,Manioc,Manioca,キャッサバ,카사바,Maniok,Mandioca,Маниока,มันสำปะหลัง,Manyok,маніока,木薯,Cassave
canola,,text,,Canola,Raps,canola,Canola,Colza,キャノーラ,카놀라,Rzepak,canola,Канола,คาโนลา,Kanola,канола,油菜籽,Koolzaad
corn,,text,,Corn,Mais,Maíz,Maïs,Mais,トウモロコシ,옥수수,kukurydza,Milho,Кукуруза,ข้าวโพด,Mısır,Кукурудза,玉米,Maïs
item,,text,,Item,Artikel,Artículo,Article,Articolo,アイテム,안건,Przedmiot,Item,Элемент,รายการ,Öğe,Пункт,物品,Item
required,,text,,Required,Erforderlich,Requerido,Requis,Necessario,必須,필수의,Wymagany,Obrigatório,Необходимый,ที่จำเป็น,Gerekli,вимагається,必需的,Vereist
storage,,text,,Storage,Lagerung,Almacenamiento,Stockage,Magazzinaggio,ストレージ,저장,Składowanie,Armazenar,Хранилище,พื้นที่จัดเก็บ,Depolamak,Зберігання,贮存,Opslag
net,,text,,Net,Netz,Neto,Filet,Netto,ネット,그물,Internet,Líquido,Сеть,สุทธิ,Açık,Чистий,网,Netto
storageTime,,text,,Time on storage,Aufbewahrungszeit,Tiempo de almacenamiento,Temps de stockage,Tempo di conservazione,保管時間,저장 시간,Czas przechowywania,Tempo de armazenamento,Время хранения,เวลาในการจัดเก็บ,Depolama süresi,Термін зберігання,储存时间,Tijd voor opslag
install,,text,,Install as web-app,Als Web-App installieren,Instalar como aplicación web,Installer en tant qu'application Web,Installa come app Web,Webアプリとしてインストール,웹앱으로 설치,Zainstaluj jako aplikację internetową,Instalar como aplicativo da web,Установить как веб-приложение,ติดตั้งเป็นเว็บแอป,Web uygulaması olarak yükle,Встановити як веб-додаток,安装为网络应用程序,Installeer als webapp
exportPrompt,,text,,Export .timber file,.timber-Datei exportieren,Exportar archivo .timber,Exporter le fichier .timber,Esporta il file .timber,.timberファイルをエクスポートする,.timber 파일 내보내기,Eksportuj plik .timber,Exportar arquivo .timber,Экспорт файла .timber,ส่งออกไฟล์ .timber,.timber dosyasını dışa aktar,Експорт файлу .timber,导出 .timber 文件,Exporteer een .timber-bestand
exportAlert,,text,,Exporting .timber file,.timber-Datei wird exportiert,Exportando archivo .timber,Exportation du fichier .timber,Esportazione del file .timber,.timber ファイルのエクスポート,.timber 파일 내보내기,Eksportowanie pliku .timber,Exportando arquivo .timber,Экспорт файла .timber,กำลังส่งออกไฟล์ .timber,.timber dosyasını dışa aktarma,Експорт файлу .timber,导出 .timber 文件,Exporteren van .timber-bestand
area,,text,,Area,Bereich,Área,Zone,La zona,エリア,영역,Obszar,Área,Область,พื้นที่,Alan,Площа,区域,Gebied
planted,,text,,Planted,Gepflanzt,plantado,Planté,Piantato,植えた,심었습니다,Posadzone,Plantado,Посажено,ปลูกแล้ว,Ekili,Посадили,种植,Geplant
resources,,text,,Resources,Ressourcen,Recursos,Ressources,Risorse,リソース,자원,Zasoby,Recursos,Ресурсы,ทรัพยากร,Kaynaklar,Ресурси,资源,Bronnen
birch,,text,,Birch,Birke,Abedul,Bouleau,Betulla,シラカバ,자작나무,Brzozowy,bétula,Береза,ไม้เรียว,Huş ağacı,Береза,桦木,Berk
pine,,text,,Pine,Kiefer,Pino,Pin,Pino,パイン,소나무,Sosna,Pinho,Сосна,ต้นสน,Çam,Сосна,松树,Pijnboom
mangrove,,text,,Mangrove,Mangrove,Mangle,Mangrove,Mangrovia,マングローブ,맹그로브,Mangrowe,Mangue,Мангровые заросли,ป่าชายเลน,Mangrov,Мангровий ліс,红树,Mangrove
oak,,text,,Oak,Eiche,Roble,Chêne,Quercia,オーク,오크,Dąb,Carvalho,Дуб,โอ๊ค,Meşe,Дуб,橡木,Eik
crops,,text,,Crops,Ernten,Cultivos,Cultures,Raccolti,作物,작물,Uprawy,Plantações,Культуры,พืชผล,Mahsuller,Культури,农作物,Gewassen
treesAndBushes,,text,,Trees and bushes,Bäume und Büsche,Arboles y arbustos,Arbres et buissons,Alberi e cespugli,木々や茂み,나무와 관목,Drzewa i krzewy,Árvores e arbustos,Деревья и кусты,ต้นไม้และพุ่มไม้,Ağaçlar ve çalılar,Дерева та кущі,树木和灌木丛,Bomen en struiken
plantingArea,,text,,Planting area,Pflanzfläche,Área de plantación,Zone de plantation,Zona di semina,植栽面積,재배면적,Obszar sadzenia,Área de plantio,Площадь посадки,พื้นที่ปลูก,Ekim alanı,Площа посадки,种植面积,Beplantingsgebied
grown,,text,,Grown,Gewachsen,Crecido,Cultivé,Cresciuto,成長した,성장,Dorosły,Crescido,Выросший,เติบโต,Yetişkin,Виросли,长大的,Gegroeid
treeCuttingArea,,text,,Tree cutting area,Bereich zum Fällen von Bäumen,Zona de tala de árboles,Zone de coupe d'arbres,Zona taglio alberi,樹木伐採エリア,나무 베는 지역,Miejsce wycinki drzew,Área de corte de árvores,Зона вырубки деревьев,พื้นที่ตัดต้นไม้,Ağaç kesme alanı,Ділянка вирубки дерев,树木砍伐区,Gebied voor het snoeien van bomen
adultBeaver,,text,,Adult beaver,Erwachsener Biber,castor adulto,Castor adulte,Castoro adulto,大人のビーバー,성인 비버,Dorosły bóbr,Castor adulto,Взрослый бобр,บีเวอร์ผู้ใหญ่,Yetişkin kunduz,Дорослий бобер,成年海狸,Volwassen bever
childBeaver,,text,,Child beaver,Kinderbiber,castor niño,Enfant castor,Castoro bambino,子ビーバー,아이 비버,Bóbr dziecięcy,Castor criança,Ребенок бобра,เด็กบีเวอร์,Çocuk kunduz,Дитина бобер,儿童海狸,Kind bever
contact,,text,,Contact,Kontakt,Contacto,Contact,Contatto,接触,연락하다,Kontakt,Contato,Контакт,ติดต่อ,Temas etmek,контакт,接触,Contact
project,,text,,Project,Projekt,Proyecto,Projet,Progetto,プロジェクト,프로젝트,Projekt,Projeto,Проект,โครงการ,Proje,Демонструвати,项目,Project
social,,text,,Social,Sozial,Social,Sociale,Sociale,社交,사회의,Społeczny,Social,Социальное,ทางสังคม,Sosyal,Соціальний,社会的,Sociaal
getTimberborn,,text,,Get timberborn,Holen Sie sich Timberborn,Nacer en madera,Obtenez Timberborn,Diventa legname,ティンバーボーンを入手,팀버본 받기,Zdobądź drewno,Seja Timberborn,Стань лесорожденным,รับไม้,Kereste doğumlu ol,Отримати тимберборн,获取木材伯恩,Koop timberborn
moreTimberborn,,text,,More timberborn,Mehr Timberborn,Más nacidos en madera,Plus de bois-nés,Più legname,もっと木材生まれの,더 많은 팀버본,Bardziej z drewna,Mais madeireiros,Больше лесорожденных,ไม้แปรรูปมากขึ้น,Daha fazla kereste doğumlu,Більше деревини,更多在售的 林伯恩 商品,Meer timberborn
processing,,text,,Processing...,Wird bearbeitet...,Procesando...,Traitement...,In lavorazione...,処理...,처리 중...,Przetwarzanie...,Em processamento...,Обработка...,กำลังประมวลผล...,İşleme...,Обробка...,加工...,Verwerken...
(perDay),,text,,(Per day),(Pro Tag),(Por día),(Par jour),(Al giorno),(1日当たり),(1일당),(Na dzień),(Por dia),(В день),(ต่อวัน),(Günlük),(На день),（每天）,(Per dag)
bugReport,,text,,"<i class=""fa-solid fa-bug""></i> Bug report","<i class=""fa-solid fa-bug""></i> Fehlerbericht","<i class=""fa-solid fa-bug""></i> Informe de error","<i class=""fa-solid fa-bug""></i> Rapport de bug","<i class=""fa-solid fa-bug""></i> Segnalazione di bug","<i class=""fa-solid fa-bug""></i> バグレポート","<i class=""fa-solid fa-bug""></i> 버그 신고","<i class=""fa-solid fa-bug""></i> Raport o błędzie","<i class=""fa-solid fa-bug""></i> Relatório de bug","<i class=""fa-solid fa-bug""></i> Отчет об ошибке","<i class=""fa-solid fa-bug""></i> รายงานข้อผิดพลาด","<i class=""fa-solid fa-bug""></i> Hata raporu","<i class=""fa-solid fa-bug""></i> Звіт про помилку","<i class=""fa-solid fa-bug""></i> 错误报告","<i class=""fa-solid fa-bug""></i> Bugrapport"
byCreator,,text,,By Agroqirax,Von Agroqirax,Por Agroqirax,Par Agroqirax,Di Agroqirax,アグロキラックス著,작성자: Agroqirax,Przez Agroqirax,Por Agroqirax,Автор: Агрокиракс,โดย Agroqirax,kaydeden Agroqirax,Від Agroqirax,由 Agroqirax 提供,Door Agroqirax
algae,,text,,Algae,Algen,Algas,Algues,Alghe,藻類,조류,Algi,Algas,Водоросли,สาหร่าย,Yosun,Водорості,藻类,Algen
description,,text,,Description,Beschreibung,Descripción,Description,Descrizione,説明,설명,Opis,Descrição,Описание,คำอธิบาย,Tanım,опис,描述,Beschrijving
ingredients,,text,,Ingredients,Zutaten,Ingredientes,Ingrédients,ingredienti,材料,재료,Składniki,Ingredientes,Ингредиенты,วัตถุดิบ,İçindekiler,Інгредієнти,原料,Ingrediënten
materials,,text,,Materials,Materialien,Materiales,Matériaux,Materiali,材料,재료,Materiały,Materiais,Материалы,วัสดุ,Malzemeler,Матеріали,材料,Materialen
algae,,text,,Algae,Algen,Algas,Algues,Alghe,藻類,조류,Algi,Algas,Водоросли,สาหร่าย,Yosun,Водорості,藻类,Algen
algaeRation,,text,,Algae ration,Algenration,Ración de algas,Ration d'algues,Razione di alghe,藻類の供給,조류 배급,Racja glonów,Ração de algas,Рацион водорослей,ปันส่วนสาหร่าย,Yosun oranı,Раціон водоростей,藻类定量,Algenrantsoen
antidote,,text,,Antidote,Gegenmittel,Antídoto,Antidote,Antidoto,解毒剤,해독제,Antidotum,Antídoto,Противоядие,ยาแก้พิษ,Panzehir,Протиотрута,解毒剂,Tegengif
badwater,,text,,Badwater,Schlechtes Wasser,Agua mala,Mauvaise eau,Cattive acque,バッドウォーター,배드워터,Zła woda,Água ruim,Бэдуотер,แบดวอเตอร์,Kötü su,Badwater,恶水,Slecht water
berries,,text,,Berries,Beeren,Bayas,Baies,Frutti di bosco,ベリー類,베리,Jagody,Bagas,Ягоды,เบอร์รี่,Meyveler,Ягоди,浆果,Bessen
biofuel,,text,,Biofuel,Biotreibstoff,Biocombustible,Biocarburant,Biocarburante,バイオ燃料,바이오연료,Biopaliwo,Biocombustível,Биотопливо,เชื้อเพลิงชีวภาพ,Biyoyakıt,Біопаливо,生物燃料,Biobrandstof
book,,text,,Book,Buch,Libro,Livre,Libro,本,책,Książka,Livro,Книга,หนังสือ,Kitap,книга,书,Boek
botChassis,,text,,Bot chassis,Bot-Chassis,Chasis de robot,Châssis de robot,Telaio del robot,ボットシャーシ,봇 섀시,Obudowa bota,Chassi de bot,Бот-шасси,แชสซีบอท,Bot şasisi,Шасі бота,机器人底盘,Bot-chassis
botHead,,text,,Bot head,Bot-Kopf,cabeza de robot,Tête de robot,Testa di bot,ボットヘッド,봇 헤드,Głowa bota,Cabeça de bot,Голова бота,หัวบอท,Bot kafası,Голова бота,机器人头,Bot hoofd
